sales_id,customer_id,product_id,order_date,quantity,unit_price,sales_amount
1,209,106,2025-03-04,1,95.43,95.43
2,370,21,2024-12-12,5,65.99,329.95
3,115,64,2024-06-22,2,34.58,69.16
4,209,37,2024-08-23,4,13.77,55.08
5,14,27,2023-09-14,1,439.67,439.67
6,9,55,2025-05-20,3,405.5,1216.5
7,40,116,2025-06-17,4,286.07,1144.28
8,450,29,2025-03-19,1,499.37,499.37
9,237,20,2024-11-07,3,476.76,1430.28
10,281,25,2023-09-28,3,329.28,987.84
11,359,70,2024-07-03,3,234.96,704.88
12,201,63,2024-07-21,3,80.32,240.96
13,246,36,2025-09-12,1,260.22,260.22
14,278,2,2023-12-25,2,83.08,166.16
15,235,22,2025-03-08,5,202.23,1011.15
17,4,16,2023-07-30,5,174.28,871.4
18,154,18,2023-10-14,2,80.63,161.26
19,442,69,2025-01-12,3,293.29,879.87
20,29,54,2025-11-12,3,303.17,909.51
21,109,100,2023-10-23,4,100.93,403.72
22,98,30,2023-01-06,5,102.31,511.55
23,215,45,2024-07-03,5,494.83,2474.15
24,293,19,2024-11-11,3,125.42,376.26
25,75,87,2025-03-05,5,419.91,2099.55
26,326,34,2023-07-22,3,237.81,713.43
27,146,13,2023-11-21,3,220.32,660.96
28,128,43,2025-04-04,3,151.01,453.03
29,341,62,2023-09-01,1,388.04,388.04
30,42,118,2023-11-23,1,440.93,440.93
31,356,93,2025-09-13,1,134.26,134.26
32,41,100,2025-12-06,1,52.07,52.07
33,422,22,2025-01-30,2,72.78,145.56
34,34,52,2025-11-02,4,397.44,1589.76
35,17,52,2025-06-25,4,220.73,882.92
36,165,111,2023-12-31,3,70.3,210.9
37,153,36,2023-03-14,5,173.44,867.2
38,486,73,2025-12-05,1,259.55,259.55
39,378,103,2023-10-01,4,426.77,1707.08
40,76,115,2023-07-27,4,322.66,1290.64
41,87,19,2023-05-04,1,92.14,92.14
42,117,38,2025-10-30,2,83.56,167.12
43,362,70,2024-06-26,2,209.11,418.22
44,342,116,2023-03-01,4,42.22,168.88
45,469,111,2025-06-17,2,379.01,758.02
46,27,79,2025-06-04,1,203.72,203.72
